id_transaccion,usuario,criptomoneda,cantidad,precio_compra,precio_actual,volumen_24h,fecha
T001,Ana_Data,BTC,0.6198,60292.84,62000.0,35000000000,2026-05-12
T002,Ana_Data,DOGE,14088.8,0.17,0.14,2100000000,2026-05-19
T003,InversorPro,BTC,0.5544,47054.23,62000.0,35000000000,2026-05-18
T004,EcoCrypto,BTC,1.7929,56939.16,62000.0,35000000000,2026-05-18
T005,InversorPro,ETH,3.7,3276.08,2900.0,18000000000,2026-05-10
T006,DevMendoza,DOGE,7668.9,0.16,0.14,2100000000,2026-05-13
T007,Lucia_Inversiones,BTC,0.2508,48225.07,62000.0,35000000000,2026-05-15
T008,EcoCrypto,SOL,110.8,143.86,145.0,4500000000,2026-05-18
T009,Ana_Data,ADA,3285.2,0.44,0.45,1200000000,2026-05-20
T010,EcoCrypto,SOL,107.2,133.86,145.0,4500000000,2026-05-10
T011,Matias_99,SOL,129.0,151.61,145.0,4500000000,2026-05-11
T012,InversorPro,SOL,125.9,128.47,145.0,4500000000,2026-05-12
T013,Lucia_Inversiones,SOL,43.7,117.86,145.0,4500000000,2026-05-20
T014,Ana_Data,DOT,543.5,6.26,5.2,850000000,2026-05-13
T015,DevMendoza,ADA,9900.5,0.5,0.45,1200000000,2026-05-20
T016,Gabi_Data,ETH,10.19,3549.15,2900.0,18000000000,2026-05-10
T017,Matias_99,BTC,1.0089,61473.85,62000.0,35000000000,2026-05-11
T018,Matias_99,DOT,328.4,6.76,5.2,850000000,2026-05-20
T019,Lucas_Mza,ADA,6607.1,0.59,0.45,1200000000,2026-05-12
T020,Sofia_Crypto,ETH,6.96,3041.09,2900.0,18000000000,2026-05-14
T021,EcoCrypto,ADA,4294.3,0.59,0.45,1200000000,2026-05-13
T022,DevMendoza,DOT,760.7,5.97,5.2,850000000,2026-05-11
T023,DevMendoza,DOGE,17331.5,0.14,0.14,2100000000,2026-05-19
T024,Ana_Data,ADA,9963.0,0.5,0.45,1200000000,2026-05-18
T025,Sofia_Crypto,DOT,31.3,6.73,5.2,850000000,2026-05-11
T026,Gabi_Data,SOL,54.3,142.18,145.0,4500000000,2026-05-14
T027,InversorPro,ETH,11.47,3281.32,2900.0,18000000000,2026-05-14
T028,Gabi_Data,ETH,1.72,3343.91,2900.0,18000000000,2026-05-20
T029,Sofia_Crypto,DOGE,5773.9,0.16,0.14,2100000000,2026-05-15
T030,DevMendoza,DOT,924.0,6.92,5.2,850000000,2026-05-10
T031,EcoCrypto,SOL,21.2,130.0,145.0,4500000000,2026-05-15
T032,Sofia_Crypto,ETH,10.6,2822.19,2900.0,18000000000,2026-05-11
T033,Ana_Data,DOGE,2661.1,0.16,0.14,2100000000,2026-05-18
T034,DevMendoza,ETH,11.39,3520.31,2900.0,18000000000,2026-05-12
T035,Sofia_Crypto,DOT,434.7,6.75,5.2,850000000,2026-05-13
