id_provincia,provincia,localidad,nombre,direccion,latitud,longitud,categoria
6,Buenos Aires,25 de Mayo,Comité Cultural y Biblioteca Juan Francisco Ibarra,9 y 27 801,-35.432917,-60.171417,Biblioteca Popular
6,Buenos Aires,9 de Julio,Bib.Pop. Anastasio Prieto,Mitre 342,-35.433333,-60.866667,Biblioteca Popular
6,Buenos Aires,9 de Julio,Bib.Pop. José Ingenieros,Mendoza 991,-35.445957,-60.883377,Biblioteca Popular
6,Buenos Aires,Carhue,Bib.Pop. Adolfo Alsina,San Martín 1101,-37.180933,-62.76005,Biblioteca Popular
6,Buenos Aires,Rivera,Bib.Pop. José Ingenieros,Los Colonizadores 235 0,-37.1626,-63.24705,Biblioteca Popular
6,Buenos Aires,Adolfo Gonzalez Chaves,Bib.Pub. Bernardino Rivadavia,Sarmiento 175,-38.03465,-60.099433,Biblioteca Popular
6,Buenos Aires,De la Garma,Bib.Pop. Dr. Victor H. Barrera,Castro Barros 348 0,-37.962467,-60.414517,Biblioteca Popular
6,Buenos Aires,Alberti,Bib.Pop. Andrés Vaccarezza,Arias 154,-35.03105,-60.278333,Biblioteca Popular
6,Buenos Aires,Adrogué,Amigos de la Biblioteca Esteban Adrogué,La Rosa 974 0,-34.797233,-58.38155,Biblioteca Popular
6,Buenos Aires,Adrogué,Bib. Pop. La Margarita blanca,Gral.Paz 765,-34.804586,-58.392516,Biblioteca Popular
6,Buenos Aires,Claypole,Bib.Pop. Mahatma Gandhi,Lobato 843,-34.799917,-58.3364,Biblioteca Popular
6,Buenos Aires,Glew,Bib.Pop. Pablo Rojas Paz,A.del Valle y Mansilla 0,-34.891483,-58.38585,Biblioteca Popular
6,Buenos Aires,Glew,Bib.Pop. Manuel Belgrano del Barrio de Villa París,Scalabrini Ortíz 2560,-34.87905,-58.3788,Biblioteca Popular
6,Buenos Aires,Glew,Bib.Pop. Fray Luis Beltrán,Fausto 233,-34.894433,-58.399517,Biblioteca Popular
6,Buenos Aires,Longchamps,Bib.Pop.Soc.Fom. Martín Fierro,Chaco 1415 0,-34.868283,-58.388433,Biblioteca Popular
6,Buenos Aires,Longchamps oeste,Bib. Pop. Atahualpa Yupanqui,Rivadavia 1516,-34.858633,-58.386383,Biblioteca Popular
6,Buenos Aires,Rafael Calzada,Bib.Pop. Gabriela Mistral,El Zorzal 2463,-34.773333,-58.327183,Biblioteca Popular
6,Buenos Aires,Avellaneda,Bib.Pop. Bartolomé Mitre,Rdo.Gutierrez 1374,-34.661733,-58.352267,Biblioteca Popular
6,Buenos Aires,Avellaneda,Bib.Pop. José Mármol,Paraguay 1002,-34.6755,-58.394767,Biblioteca Popular
6,Buenos Aires,Avellaneda,Bib.Pop. Dr. Estanislao S. Zeballos,Beruti 216,-34.663083,-58.368733,Biblioteca Popular
6,Buenos Aires,Avellaneda,Bib.Pop. Alfredo Palacios,Av.Rivadavia 770,-34.669183,-58.389067,Biblioteca Popular
6,Buenos Aires,Avellaneda,Bib.Pub.Mun.Pop. de Avellaneda,Av.Mitre 366,-34.6593,-58.369033,Biblioteca Popular
6,Buenos Aires,Avellaneda,Bib.Pop. Maestro Alfredo Bravo,Dardo Rocha 179,-34.666683,-58.3542,Biblioteca Popular
6,Buenos Aires,Dock Sud,Bib.Pop. Dock Sud,Nicolás Avellaneda 1345,-34.65,-58.3477,Biblioteca Popular
6,Buenos Aires,Gerli,Bib.Pop. Juan Bautista Alberdi,Limay 1234,-34.678183,-58.373667,Biblioteca Popular
6,Buenos Aires,Gerli,Bib.Pop. Enrique del Valle Iberlucea,De la Serna 710,-34.6827,-58.375567,Biblioteca Popular
6,Buenos Aires,Piñeyro,Bib.Pop. Veladas de estudio después del trabajo,Entre Ríos 731 0,-34.671917,-58.390983,Biblioteca Popular
6,Buenos Aires,Piñeyro,Bib.Pop. Presidente Avellaneda,Villegas 15,-34.666583,-58.378633,Biblioteca Popular
6,Buenos Aires,Sarandí,Soc. Fom. y Cul. y Bib.Pop. Domingo Faustino Sarmiento,Supisiche 680,-34.684383,-58.352533,Biblioteca Popular
6,Buenos Aires,Villa Dominico,Soc.Fom. U. de Dom. y Bib.Pop. Nicolás Avellaneda,San Vicente 660,-34.69025,-58.32075,Biblioteca Popular
6,Buenos Aires,Wilde,Bib.Pop. Juan M. de Pueyrredón,Martín Fierro 250,-34.700717,-58.31605,Biblioteca Popular
6,Buenos Aires,Wilde,Bib. Pop. Oscar Smith,Hilario Ascasubi 511,-34.715733,-58.323983,Biblioteca Popular
6,Buenos Aires,Ayacucho,Bib.Pub.Mun. Manuel Vilardaga,25 de Mayo 941,-37.151133,-58.485517,Biblioteca Popular
6,Buenos Aires,Azul,Bib.Pop. Bartolomé J. Ronco,Burgos 687 0,-36.78765,-59.874633,Biblioteca Popular
6,Buenos Aires,Cachari,Bib.Pop. Almafuerte,25 de Mayo 1664,-36.380017,-59.4998,Biblioteca Popular
6,Buenos Aires,Chillar,Bib.Pop. Asoc.Cult. de Chillar,Mario T. Cortázar 1037,-37.313133,-59.981967,Biblioteca Popular
6,Buenos Aires,Bahía Blanca,Bib.Pop. Bernardino Rivadavia,Av. Colón 31,-38.71885,-62.267083,Biblioteca Popular
6,Buenos Aires,Bahía Blanca,Bib.Pop. Bartolomé Mitre,Washington 232,-38.729717,-62.245483,Biblioteca Popular
6,Buenos Aires,Bahía Blanca,Bib.Pop. Roberto Payro,19 de Mayo 769,-38.707633,-62.25955,Biblioteca Popular
6,Buenos Aires,Bahía Blanca,Bib.Pop. Pajarita de papel,Saavedra 951,-38.728917,-62.2587,Biblioteca Popular
6,Buenos Aires,Bahía Blanca,Bib.Pop. Eduardo Mallea,Avda. Gral. Arias 2250,-38.75505,-62.263367,Biblioteca Popular
6,Buenos Aires,Bahía Blanca,Bib.Pop. Don Germán García,Quillén 146,-38.697583,-62.219617,Biblioteca Popular
6,Buenos Aires,Bahía Blanca,Bib.Pop. Rosario Sur,Cornelio Saavedra 2395,-38.7413,-62.242883,Biblioteca Popular
